,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
155,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,570182,SAROJ PANDEY,Bharatiya Janata Party,526899,43283
156,Chhattisgarh,BILASPUR,TOKHAN SAHU,Bharatiya Janata Party,724937,DEVENDRA YADAV,Indian National Congress,560379,164558
157,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,712057,BHUPESH BAGHEL,Indian National Congress,667646,44411
158,Chhattisgarh,DURG,VIJAY BAGHEL,Bharatiya Janata Party,956497,RAJENDRA SAHU,Indian National Congress,518271,438226
159,Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1050351,VIKAS UPADHYAY,Indian National Congress,475066,575285
160,Chhattisgarh,MAHASAMUND,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,703659,TAMRADHWAJ SAHU,Indian National Congress,558203,145456
161,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371,TALA MARANDI,Bharatiya Janata Party,435107,178264
162,Jharkhand,Dumka,NALIN SOREN,Jharkhand Mukti Morcha,547370,SITA MURMU,Bharatiya Janata Party,524843,22527
163,Jharkhand,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,693140,PRADEEP YADAV,Indian National Congress,591327,101813
164,Jharkhand,Chatra,KALI CHARAN SINGH,Bharatiya Janata Party,574556,KRISHNA NAND TRIPATHI,Indian National Congress,353597,220959
165,Jharkhand,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,791657,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),414643,377014
166,Jharkhand,Giridih,CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,370259,80880
167,Jharkhand,Dhanbad,DULU MAHATO,Bharatiya Janata Party,789172,ANUPAMA SINGH,Indian National Congress,457589,331583
168,Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,664732,YASHASWINI SAHAY,Indian National Congress,544220,120512
169,Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,Bharatiya Janata Party,726174,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,466392,259782
170,Uttarakhand,Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,462603,JOT SINGH GUNSOLA,Indian National Congress,190110,272493
171,Uttarakhand,Garhwal,ANIL BALUNI,Bharatiya Janata Party,432159,GANESH GODIYAL,Indian National Congress,268656,163503
172,Uttarakhand,Almora,AJAY TAMTA,Bharatiya Janata Party,429167,PRADEEP TAMTA,Indian National Congress,195070,234097
173,Uttarakhand,Nainital-Udhamsingh Nagar,AJAY BHATT,Bharatiya Janata Party,772671,PRAKASH JOSHI,Indian National Congress,438123,334548
174,Uttarakhand,Haridwar,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,653808,VIRENDRA RAWAT,Indian National Congress,489752,164056
175,Telangana,Adilabad,GODAM NAGESH,Bharatiya Janata Party,568168,ATHRAM SUGUNA,Indian National Congress,477516,90652
176,Telangana,Peddapalle,VAMSI KRISHNA GADDAM,Indian National Congress,475587,SRINIVAS GOMASE,Bharatiya Janata Party,344223,131364
177,Telangana,Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,585116,VELCHALA RAJENDER RAO,Indian National Congress,359907,225209
178,Telangana,Nizamabad,ARVIND DHARMAPURI,Bharatiya Janata Party,592318,JEEVANREDDY THATIPARTHI,Indian National Congress,483077,109241
179,Telangana,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,528418,B. B. PATIL,Bharatiya Janata Party,482230,46188
180,Telangana,Medak,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,471217,NEELAM MADHU,Indian National Congress,432078,39139
181,Telangana,Malkajgiri,EATALA RAJENDER,Bharatiya Janata Party,991042,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,599567,391475
182,Telangana,Secunderabad,G. KISHAN REDDY,Bharatiya Janata Party,473012,DANAM NAGENDER,Indian National Congress,423068,49944
183,Telangana,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,661981,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,323894,338087
184,Karnataka,Haveri,BASAVARAJ BOMMAI,Bharatiya Janata Party,705538,ANANDSWAMY GADDADEVARMATH,Indian National Congress,662025,43513
185,Karnataka,Dharwad,PRALHAD JOSHI,Bharatiya Janata Party,716231,VINOD ASOOTI,Indian National Congress,618907,97324
186,Karnataka,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,782495,DR. ANJALI NIMBALKAR,Indian National Congress,445067,337428
187,Karnataka,Davanagere,DR. PRABHA MALLIKARJUN,Indian National Congress,633059,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,606965,26094
188,Karnataka,Shimoga,B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721,GEETHA SHIVARAJKUMAR,Indian National Congress,535006,243715
189,Karnataka,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,732234,K. JAYAPRAKASH HEGDE,Indian National Congress,473059,259175
190,Karnataka,Hassan,SHREYAS. M. PATEL,Indian National Congress,672988,PRAJWAL REVANNA,Janata Dal  (Secular),630339,42649
191,Karnataka,Dakshina Kannada,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,764132,PADMARAJ.R.POOJARY,Indian National Congress,614924,149208
192,Karnataka,Chitradurga,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,684890,B.N.CHANDRAPPA,Indian National Congress,636769,48121
193,Karnataka,Tumkur,V. SOMANNA,Bharatiya Janata Party,720946,S.P. MUDDAHANUMEGOWDA,Indian National Congress,545352,175594
194,Karnataka,Mandya,H.D. KUMARASWAMY,Janata Dal  (Secular),851881,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,567261,284620
195,Karnataka,Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,795503,M. LAKSHMANA,Indian National Congress,656241,139262
196,Karnataka,Chamarajanagar,SUNIL BOSE,Indian National Congress,751671,BALARAJ.S,Bharatiya Janata Party,562965,188706
197,Karnataka,Bangalore Rural,DR C N MANJUNATH,Bharatiya Janata Party,1079002,D K SURESH,Indian National Congress,809355,269647
198,Karnataka,Bangalore North,SHOBHA KARANDLAJE,Bharatiya Janata Party,986049,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,726573,259476
199,Karnataka,Bangalore central,P C MOHAN,Bharatiya Janata Party,658915,MANSOOR ALI KHAN,Indian National Congress,626208,32707
200,Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,750830,SOWMYA REDDY,Indian National Congress,473747,277083
201,Karnataka,Chikkballapur,DR.K.SUDHAKAR,Bharatiya Janata Party,822619,M.S. RAKSHA RAMAIAH,Indian National Congress,659159,163460
202,Karnataka,Kolar,M. MALLESH BABU,Janata Dal  (Secular),691481,K V GOWTHAM,Indian National Congress,620093,71388
203,Kerala,Thrissur,SURESH GOPI,Bharatiya Janata Party,412338,ADV V S SUNILKUMAR,Communist Party of India,337652,74686
204,Kerala,Chalakudy,BENNY BEHANAN,Indian National Congress,394171,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),330417,63754
205,Kerala,Ernakulam,HIBI EDEN,Indian National Congress,482317,K. J. SHINE TEACHER,Communist Party of India  (Marxist),231932,250385
206,Kerala,Idukki,ADV. DEAN KURIAKOSE,Indian National Congress,432372,ADV. JOICE GEORGE,Communist Party of India  (Marxist),298645,133727
